language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (Australian),hose,"hose, hoses, hosing",-8.89971437537587,8.413120567375886,nouns,outside,hose
English (Australian),hot,"hot, hots, hottest",-6.512170157313943,6.090894308943089,adjectives,descriptive_words,hot
English (Australian),house,"home, homes, house, houses",-4.915527131385653,9.150182788262029,other,places,home/house
English (Australian),hug,"hug, hugged, hugs",-7.405717111386996,6.08664546899841,verbs,action_words,hug
English (Australian),hungry,"hungriest, hungry",-6.640905488799511,7.242463473275384,adjectives,descriptive_words,hungry
English (Australian),hurry,"hurries, hurry, hurrying",-8.100056897932063,5.594745222929936,verbs,action_words,hurry
English (Australian),hurt (description),"hurt, hurted, hurting, hurts",-6.349439902398624,6.236147574962001,adjectives,descriptive_words,hurt
English (Australian),ice,"ice, iced, ices, icing",-6.966783158989328,8.495772482705611,nouns,food_drink,ice
English (Australian),ice cream,"ice+cream, ice+creams",-7.50724443221183,6.3867135943686755,nouns,food_drink,ice cream
English (Australian),jacket,"jacket, jackets",-8.447568363530142,7.542277339346111,nouns,clothing,jacket
English (Australian),jam,"jam, jammed, jams, jellied, jellies, jelly, jellys",-7.686404764033882,7.122105263157895,nouns,food_drink,jam
English (Australian),jam,"jam, jammed, jams, jellied, jellies, jelly, jellys",-7.686404764033882,7.122105263157895,nouns,food_drink,jelly
English (Australian),jar,"jar, jarred, jars",-8.853033471638305,9.341793570219966,nouns,household,jar
English (Australian),jeans,"jean, jeans",-8.971238893784601,6.038095238095238,nouns,clothing,jeans
English (Australian),juice,"cordial, juice, juices, juicing",-6.288344023210071,5.917067463928246,nouns,food_drink,cordial
English (Australian),juice,"cordial, juice, juices, juicing",-6.288344023210071,5.917067463928246,nouns,food_drink,juice
English (Australian),jump,"jump, jumped, jumping, jumps",-6.498125209354563,7.103415103415103,verbs,action_words,jump
English (Australian),kangaroo,"kangaroo, kangaroos, roo, roos",-7.96901467869414,6.907821229050279,nouns,animals,kangaroo/roo
English (Australian),key,"key, keys",-7.403336157881253,6.398096748612213,nouns,household,keys
English (Australian),kick,"kick, kicked, kicking, kicks",-7.616325335947856,5.9926398429833165,verbs,action_words,kick
English (Australian),kiss,"kiss, kissed, kisses, kissing",-6.6083423570631625,6.14249910490512,verbs,action_words,kiss
