"language","form","form_type","measure","lexical_class","mean","ci_lower","ci_upper","num_forms","langform","order"
"American Sign Language","FormBOne","WS","produces","Adjectives",0.0223088684252338,0.0061817576292458,0.0402950930073582,3,"American Sign Language FormBOne","43"
"Persian","WS","WS","produces","Adjectives",0.0260345878894513,-0.0057507879519048,0.0562326472275754,1,"Persian","44"
"Mandarin (Beijing)","TC","WS","produces","Adjectives",0.0325688179483654,0.028567818612851,0.0367723451463024,2,"Mandarin (Beijing) TC","45"
"English (British)","WSShort","WS","produces","Adjectives",0.0398700349753826,0.025012372240537,0.0557083939843867,2,"English (British) OxfordShort","46"
"Finnish","WSShort","WS","produces","Adjectives",0.0985160336539755,0.0543790964667539,0.141773913740911,2,"Finnish WSShort","47"
"Mandarin (Beijing)","TC","WS","produces","Function Words",-0.248787999187434,-0.255526082339875,-0.241907173912633,2,"Mandarin (Beijing) TC","48"
"Czech","WS","WS","produces","Function Words",-0.182295602242365,-0.196230639930753,-0.168474298235884,1,"Czech","49"
"English (American)","WS","WS","produces","Function Words",-0.176635883529901,-0.178996068786513,-0.174206298287107,2,"English (American) WS","50"
"Swedish","WS","WS","produces","Function Words",-0.172548114928779,-0.181094284977594,-0.163548487043303,1,"Swedish","51"
"German","WS","WS","produces","Function Words",-0.17181629166044,-0.177125688755652,-0.166242640830141,1,"German","52"
"English (British)","WS","WS","produces","Function Words",-0.171397039936895,-0.181007850753076,-0.162283693214971,2,"English (British) Oxford CDI","53"
"Finnish","WS","WS","produces","Function Words",-0.163314671724739,-0.180127022375029,-0.146189483036643,2,"Finnish WS","54"
"Latvian","WS","WS","produces","Function Words",-0.159600516990501,-0.170301239861272,-0.149525544938691,1,"Latvian","55"
"Danish","WS","WS","produces","Function Words",-0.158594723671877,-0.161629630511901,-0.155697779124071,1,"Danish","56"
"Dutch","WS","WS","produces","Function Words",-0.158174030904608,-0.168312695741927,-0.148077905355997,2,"Dutch WS","57"
"French (Quebecois)","WS","WS","produces","Function Words",-0.149160515795012,-0.154332361665891,-0.144190269840074,1,"French (Quebecois)","58"
"Norwegian","WS","WS","produces","Function Words",-0.147097348422727,-0.148826243340513,-0.145276309574345,1,"Norwegian","59"
"Croatian","WS","WS","produces","Function Words",-0.141675900536325,-0.152198266262207,-0.131147553713713,1,"Croatian","60"
"Catalan","WS","WS","produces","Function Words",-0.141002518676561,-0.147948285656197,-0.134100495817196,1,"Catalan","61"
"Japanese","WS","WS","produces","Function Words",-0.134516873523113,-0.142335867967132,-0.126054950927576,1,"Japanese","62"
"English (Irish)","WS","WS","produces","Function Words",-0.134193454153025,-0.165817683921486,-0.100718938947535,1,"English (Irish)","63"
"Russian","WS","WS","produces","Function Words",-0.13043167746884,-0.136711716890314,-0.123596275786129,1,"Russian","64"
"Mandarin (Beijing)","WS","WS","produces","Function Words",-0.127541335062422,-0.134281585810287,-0.121229514338232,2,"Mandarin (Beijing) WS","65"
"Mandarin (Taiwanese)","WS","WS","produces","Function Words",-0.125222087873706,-0.130783701776267,-0.119921560527547,1,"Mandarin (Taiwanese)","66"
"Spanish (Argentinian)","WS","WS","produces","Function Words",-0.122737509492074,-0.135031439328147,-0.111062628272068,1,"Spanish (Argentinian)","67"
"Cantonese","WS","WS","produces","Function Words",-0.121864070334338,-0.127083401881514,-0.116781925802577,1,"Cantonese","68"
"Hungarian","WS","WS","produces","Function Words",-0.120723975768477,-0.129901515960559,-0.111058881810255,1,"Hungarian","69"
"Turkish","WS","WS","produces","Function Words",-0.115595681067253,-0.122101802138374,-0.108885739648129,1,"Turkish","70"
"Korean","WS","WS","produces","Function Words",-0.114725165319577,-0.119762653272336,-0.10975507455797,1,"Korean","71"
"English (American)","WSShort","WS","produces","Function Words",-0.112759318870206,-0.20940644360589,-0.00746699825320104,2,"English (American) WSShort","72"
"French (French)","WS","WS","produces","Function Words",-0.110072883194083,-0.115728547268297,-0.104146217558335,1,"French (French)","73"
"Persian","WS","WS","produces","Function Words",-0.108558478920262,-0.13986889932423,-0.0757627610129456,1,"Persian","74"
"Italian","WS","WS","produces","Function Words",-0.105246296711551,-0.114309631706053,-0.0965477355682244,1,"Italian","75"
"Irish","WS","WS","produces","Function Words",-0.101593547981563,-0.12101277379565,-0.0832880653711993,1,"Irish","76"
"Spanish (European)","WS","WS","produces","Function Words",-0.100754895342799,-0.109193404576068,-0.0922089190533695,1,"Spanish (European)","77"
"Estonian","WS","WS","produces","Function Words",-0.0981118273974342,-0.10434963210208,-0.0919668041402621,1,"Estonian","78"
"Slovak","WS","WS","produces","Function Words",-0.0898277664400094,-0.0978371869348214,-0.0812035824413401,1,"Slovak","79"
"Portuguese (European)","WS","WS","produces","Function Words",-0.0895284684044848,-0.0942642263972828,-0.0842678571035439,1,"Portuguese (European)","80"
"American Sign Language","FormBTwo","WS","produces","Function Words",-0.0893089833562072,-0.114983321163928,-0.060539784897204,3,"American Sign Language FormBTwo","81"
"American Sign Language","FormC","WS","produces","Function Words",-0.0854584097506611,-0.110138806690836,-0.0549784290527686,3,"American Sign Language FormC","82"
"American Sign Language","FormBOne","WS","produces","Function Words",-0.0735916563332414,-0.0993532693796398,-0.0502028764783472,3,"American Sign Language FormBOne","83"
"Hebrew","WS","WS","produces","Function Words",-0.0661858597947718,-0.0783444207144325,-0.0540455792972971,1,"Hebrew","84"
"Spanish (Mexican)","WS","WS","produces","Function Words",-0.0599287512174057,-0.0664874002622084,-0.0534078074691074,1,"Spanish (Mexican)","85"
"Kigiriama","WS","WS","produces","Function Words",-0.0533134806540662,-0.0898046704803618,-0.01831233037353,1,"Kigiriama","86"
"Spanish (Peruvian)","WS","WS","produces","Function Words",-0.0447743010770656,-0.0778833337408405,-0.0136348008857034,1,"Spanish (Peruvian)","87"
"Dutch","FormThree","WS","produces","Function Words",-0.0263199234982796,-0.0595420642161342,0.00811504388644564,2,"Dutch FormThree","88"
"Greek (Cypriot)","WS","WS","produces","Function Words",-0.0248169827480768,-0.0439490315923443,-0.004260523905813,1,"Greek (Cypriot)","89"
"Kiswahili","WS","WS","produces","Function Words",-0.0201934788155058,-0.0555027575938941,0.00950250746145601,1,"Kiswahili","90"
"Arabic (Saudi)","WS","WS","produces","Function Words",-0.0179447533270222,-0.0348732254771153,-0.00140683689017412,1,"Arabic (Saudi)","91"
