"language","lexical_category","freq_mean","bias","bias_type","predicativeAdj"
"Spanish (Mexican)","Nouns",-9.69608894757348,0.0416870387329962,"Noun bias",NA
"Spanish (Mexican)","Verbs",-7.87468741445591,0.0416870387329962,"Noun bias",NA
"Spanish (Mexican)","Adjectives",-8.83679929665918,0.0416870387329962,"Noun bias",NA
"Spanish (Peruvian)","Nouns",-9.47749201093177,0.0166435651858959,"Noun bias",NA
"Spanish (Peruvian)","Verbs",-7.36515115800395,0.0166435651858959,"Noun bias",NA
"Spanish (Peruvian)","Adjectives",-8.63982956732252,0.0166435651858959,"Noun bias",NA
"Swedish","Nouns",-9.82552021421538,0.0543534690530459,"Noun bias",NA
"Swedish","Verbs",-8.72255530275024,0.0543534690530459,"Noun bias",NA
"Swedish","Adjectives",-9.10516542525408,0.0543534690530459,"Noun bias",NA
"Turkish","Nouns",-8.56825707552044,0.031642098163999,"Noun bias",NA
"Turkish","Verbs",-7.38541563377901,0.031642098163999,"Noun bias",NA
"Turkish","Adjectives",-8.14368064988862,0.031642098163999,"Noun bias",NA
"Cantonese","Nouns",-8.94100250377259,0.0603068754663766,"Verb bias",NA
"Cantonese","Verbs",-7.04260016828268,0.0603068754663766,"Verb bias",NA
"Cantonese","Adjectives",-7.93718863570971,0.0603068754663766,"Verb bias",NA
"Croatian","Nouns",-9.52097374555193,0.0135633202536304,"Verb bias",NA
"Croatian","Verbs",-8.27255993264437,0.0135633202536304,"Verb bias",NA
"Croatian","Adjectives",-8.72065401540238,0.0135633202536304,"Verb bias",NA
"Czech","Nouns",-8.99631488375131,-0.00940818137660292,"Verb bias",NA
"Czech","Verbs",-7.88558071976391,-0.00940818137660292,"Verb bias",NA
"Czech","Adjectives",-8.1465228629272,-0.00940818137660292,"Verb bias",NA
"Danish","Nouns",-9.33034170697847,-0.00376745188982181,"Verb bias",NA
"Danish","Verbs",-7.99616243848178,-0.00376745188982181,"Verb bias",NA
"Danish","Adjectives",-8.90307587869517,-0.00376745188982181,"Verb bias",NA
"Dutch","Nouns",-9.59073808541283,-0.0188442070979111,"Verb bias",NA
"Dutch","Verbs",-8.58749004191117,-0.0188442070979111,"Verb bias",NA
"Dutch","Adjectives",-8.12891668046283,-0.0188442070979111,"Verb bias",NA
"English (American)","Nouns",-9.26336516537037,-0.0311648434337394,"Verb bias",NA
"English (American)","Verbs",-7.92400196313019,-0.0311648434337394,"Verb bias",NA
"English (American)","Adjectives",-8.40166086423604,-0.0311648434337394,"Verb bias",NA
"English (Australian)","Nouns",-7.9101880106034,-0.0572672951859374,"Verb bias",NA
"English (Australian)","Verbs",-6.47233635035833,-0.0572672951859374,"Verb bias",NA
"English (Australian)","Adjectives",-7.00025221161278,-0.0572672951859374,"Verb bias",NA
"English (British)","Nouns",-8.25393148149216,-0.0742749792512111,"Verb bias",NA
"English (British)","Verbs",-6.95258018342958,-0.0742749792512111,"Verb bias",NA
