"language","Noun.Dim1","Noun.Dim2","Noun.Dim3","Verb.Dim1","Verb.Dim2","Verb.Dim3","Adj.Dim1","Adj.Dim2","Adj.Dim3","Noun.Dim1_z","Noun.Dim2_z","Noun.Dim3_z","Verb.Dim1_z","Verb.Dim2_z","Verb.Dim3_z","Adj.Dim1_z","Adj.Dim2_z","Adj.Dim3_z"
"Kiswahili",-1.06365066719872,1.46313501597449,0.0404504784985738,0.400770743199987,1.35106678442295,-1.34624385191065,0.919582354956044,-0.45233560356117,-0.0689089301447636,-1.49657336112968,2.382358790213,0.072065331180664,0.600970723408663,2.21967357525964,-2.59870023291487,1.26012554800497,-0.690123982209675,-0.133256768739759
"Mandarin (Beijing)",0.757387270662538,0.266814397940008,0.97820122272262,1.42239019471074,0.269683902237534,0.400762772850683,0.761959103304276,0.293447521182712,-0.154736267735442,1.06565590403611,0.434442221222085,1.74273328013466,2.13292731265602,0.443064871678587,0.773605992460121,1.04413066152685,0.447709997386453,-0.299230520659042
"Cantonese",1.17446148196737,0.674188701909895,1.73261353242632,1.42239019471074,0.269683902237534,0.400762772850683,0.761959103304276,0.293447521182712,-0.154736267735442,1.65248593526888,1.09775199330294,3.08677110029255,2.13292731265602,0.443064871678587,0.773605992460121,1.04413066152685,0.447709997386453,-0.299230520659042
"Spanish (Peruvian)",-0.399083842047894,-0.165438334335128,0.352239512561694,-0.190275450514529,0.550175307212203,-0.601426395178863,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.561517296312265,-0.269376008186767,0.627539106331441,-0.285325156795601,0.903885437240516,-1.16095379823966,0.319387129461983,-1.2641398140544,-0.408238867184361
"Mandarin (Taiwanese)",0.757387270662538,0.266814397940008,0.97820122272262,1.42239019471074,0.269683902237534,0.400762772850683,0.761959103304276,0.293447521182712,-0.154736267735442,1.06565590403611,0.434442221222084,1.74273328013466,2.13292731265602,0.443064871678587,0.773605992460121,1.04413066152685,0.447709997386453,-0.299230520659042
"Turkish",1.27098898459693,0.410441517171284,-0.611344301285485,0.0192663706520126,0.234250755622518,0.185632361920513,1.513998644579,0.999060854267395,0.446303204326709,1.78830166265637,0.668303981263215,-1.08915224671826,0.0288906436027484,0.384851598925202,0.358332453273398,2.07466831154028,1.5242573208668,0.863065538266768
"Japanese",1.83290561077593,0.833695665209578,-0.158362077093443,1.21652883476943,-0.128614711740029,0.299762363373068,1.513998644579,0.999060854267395,0.446303204326709,2.57892726921017,1.35747020930373,-0.2821330168591,1.82423050156149,-0.211301676816005,0.578641471536616,2.07466831154028,1.5242573208668,0.863065538266768
"Portuguese (European)",-0.399083842047894,-0.165438334335128,0.352239512561695,-0.0296961718956043,0.0786813615593973,-0.608409628387482,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.561517296312266,-0.269376008186766,0.627539106331442,-0.0445305207762229,0.129265955711757,-1.17443377048984,0.319387129461983,-1.2641398140544,-0.408238867184361
"Irish",-1.50059905406516,2.41622209910368,-0.620360041820069,-1.02789509495721,0.988254580261645,1.41130528363528,-0.669198768798456,-1.05272001283664,2.6108581799444,-2.11136667263589,3.93422882649877,-1.10521441338673,-1.54136715138509,1.62360780586651,2.72429052440374,-0.917018971396762,-1.60612457142652,5.04890329840068
"Estonian",0.410827333980855,-0.238059561491047,-0.721358408037899,0.21079924685152,-0.577677542248897,0.0716599119731662,-0.520905391681137,0.219964067792764,-0.164941363661946,0.578040575745538,-0.387621977958552,-1.28515000328218,0.316101357256867,-0.949068980404596,0.138327562031968,-0.713809033648009,0.335597015165428,-0.318965235811177
"English (Australian)",-0.360753491733949,-0.410075788622095,-0.01304024926901,-0.283208645627499,-0.671669648656845,0.00945289178858062,-0.520905391681137,0.219964067792764,-0.164941363661946,-0.50758588539735,-0.667708481453231,-0.0232321079287788,-0.424681959764251,-1.10348902631359,0.0182472380897707,-0.71380903364801,0.335597015165428,-0.318965235811177
